PPG_from,APG_from,RPG_from,SPG_from,BPG_from,MPG_from,Usage_from,off_rtg_from,def_rtg_from,off_usage_from,Min_per_from,ORtg_from,usgG1_from,eFG_from,TS_per_from,ORB_per_from,DRB_per_from,AST_per_from,TO_per_from,FT_per_from,twoP_per_from,TP_per_from,blk_per_from,stl_per_from,ftr_from,porpag_from,adjoe_from,pfr_from,drtg_from,adrtg_from,dporpag_from,stops_from,oreb_from,dreb_from,treb_from,ast_from,stl_from,blk_from,pts_from,class_from_---,class_from_Fr,class_from_Jr,class_from_So,class_from_Sr,bpm_change,player_key,year_from,year_to,cluster_from,cluster_to
11.7,3.2,2.4,1.3,0.0,33.0,17.5,,,,82.7,116.8,17.5,51.5,57.02,1.1,7.2,18.4,13.6,0.9,0.527,0.336,0.1,2.2,30.6,2.74416,111.36,2.1,104.494,103.117,3.02423,179.265,0.3143,2.1429,2.4571,3.1714,1.2571,0.0286,11.7429,0,0,0,0,0,-0.39507000000000003,3906763,2019,2020,14.0,13.0
4.8,0.2,2.7,0.1,0.4,12.0,14.2,,,,31.6,141.1,14.2,66.3,67.48,12.0,11.1,2.7,4.7,0.672,0.662,0.0,3.3,0.5,80.0,1.78719,128.269,4.7,103.278,103.739,1.1263,71.4149,1.303,1.4242,2.7273,0.2121,0.1212,0.4242,4.7879,0,0,0,0,0,-2.065649,3906781,2019,2020,5.0,5.0
4.4,0.6,1.7,0.3,0.0,22.1,8.9,,,,54.7,107.6,8.9,55.0,57.32,2.0,5.6,3.4,15.4,0.8,0.727,0.354,0.0,0.8,18.2,0.167366,89.5932,3.4,106.783,107.123,1.75097,103.138,0.4062,1.25,1.6562,0.625,0.3438,0.0,4.4062,0,0,0,0,0,-0.787544,3906782,2019,2020,4.0,8.0
4.1,1.0,1.5,0.6,0.0,16.5,20.4,,,,25.2,72.1,20.4,39.7,39.77,1.2,9.1,11.6,24.2,0.389,0.3,0.351,0.5,1.8,20.7,-0.880701,72.3757,1.6,107.843,105.553,1.39586,47.4906,0.15,1.25,1.4,1.0,0.45,0.05,4.1,0,0,0,0,0,5.519423,3906788,2019,2020,12.0,16.0
9.6,0.6,4.9,0.3,0.7,18.3,28.7,,,,44.9,104.4,28.7,54.6,58.73,9.1,21.7,7.6,18.6,0.758,0.551,0.349,4.3,0.8,41.6,1.58304,112.867,4.9,108.146,106.864,1.40768,111.028,1.3429,3.5714,4.9143,0.5714,0.2571,0.7429,9.6286,0,0,0,0,0,5.20561,3906789,2019,2020,15.0,17.0
5.2,0.6,3.0,0.2,0.1,12.0,23.3,,,,20.5,118.2,23.3,50.0,54.64,14.8,14.9,9.8,12.2,0.738,0.493,0.346,0.9,1.0,42.4,1.81664,131.304,4.5,103.434,98.0861,1.29984,48.9689,1.52,1.52,3.04,0.6,0.2,0.08,5.2,0,0,0,0,0,-0.35762000000000027,3906964,2019,2020,15.0,10.0
4.1,0.9,2.0,0.5,0.1,15.1,18.9,,,,20.9,88.0,18.9,38.9,44.83,1.5,14.1,11.7,17.3,0.8,0.438,0.226,0.9,1.5,31.7,0.054789,88.5455,3.2,107.448,106.995,1.13203,38.8813,0.2941,1.7059,2.0,1.0,0.4706,0.1176,4.1176,0,0,0,0,0,3.9818999999999996,3906965,2019,2020,3.0,8.0
1.8,0.7,1.3,0.3,0.0,11.5,8.8,,,,5.7,116.5,8.8,83.3,74.07,5.0,8.1,10.1,28.5,0.333,1.0,0.0,0.0,1.7,50.0,0.438867,98.299,7.4,101.024,100.505,1.17212,11.5088,0.5,0.8333,1.3333,0.6667,0.3333,0.0,1.8333,0,0,0,0,0,-2.885967,3906969,2019,2020,,12.0
1.6,0.0,1.7,0.3,0.8,10.1,11.4,,,,24.5,81.6,11.4,59.5,54.39,6.7,10.3,0.6,33.4,0.267,0.595,0.0,8.0,1.3,40.5,-0.584348,71.3775,7.3,92.9909,92.2106,1.35351,61.9751,0.7097,1.0323,1.7419,0.0323,0.2581,0.7742,1.6452,0,0,0,0,0,5.213013,3907019,2019,2020,6.0,17.0
14.2,1.3,5.5,0.6,0.4,32.5,21.6,,,,84.6,100.9,21.6,51.6,53.39,3.6,13.2,8.0,14.5,0.689,0.451,0.371,1.2,1.1,19.7,1.85747,103.281,3.0,96.2027,95.0847,4.03528,187.577,1.1212,4.3333,5.4545,1.2727,0.5758,0.3636,14.2121,0,0,0,0,0,-0.42297000000000007,3907020,2019,2020,13.0,4.0
