team,num_players,total_current_usage,total_optimal_usage,usage_concentration,top_2_usage,top_3_usage,weighted_team_bpm,potential_team_bpm,bpm_improvement_potential,overutilized_count,underutilized_count
Stonehill,9,173.84389066987242,185,0.27610484095812177,47.99913978494624,69.59913978494623,-5.496185395948267,-0.3466229735242305,5.149562422424037,2,5
LIU,11,195.97019682221728,195,0.2830571695607976,55.47076923076923,77.96194570135746,-5.29514525862529,0.003959386247579556,5.29910464487287,4,3
Binghamton,8,159.48939389070972,140,0.3251223806399574,51.85357142857143,75.63434065934067,-6.269394890851262,-4.240045885142734,2.0293490057085286,3,1
Bellarmine,12,217.73143918150816,190,0.24371876792217018,53.0652380952381,74.18857142857144,-5.022419408340938,-0.37684256148857737,4.645576846852361,6,3
Massachusetts,11,204.99097381864624,235,0.24462967352096446,50.146875,70.79859913793103,-2.8318937644724995,2.7014732883671897,5.533367052839689,2,4
Florida Gulf Coast,11,200.42007834757834,215,0.24280920198683423,48.66383928571429,70.4857142857143,-3.567265313689114,2.8237768383331074,6.391042152022221,3,4
Houston,9,165.56987020887883,155,0.29862464215782064,49.44324324324325,68.87837837837839,6.476228567906828,8.645837172496295,2.1696086045894667,2,2
Xavier,8,153.5879734848485,160,0.32625537259331555,50.108901515151516,72.57859848484848,0.34208661421940034,4.065334303942821,3.723247689723421,3,3
Stony Brook,10,183.32416621793212,190,0.2865102509787141,52.52425287356323,72.25091954022989,-3.9518929879865405,0.02883439659307485,3.980727384579615,2,3
Kansas St.,11,217.53910756027514,235,0.27455945749106103,59.727419354838716,82.19263674614305,-1.3214059261709137,2.20082456938511,3.5222304955560237,2,4
Charleston,9,170.95732880588568,195,0.29342604779635706,50.16333333333334,71.24720430107527,-0.17397491691406708,3.9327890806424817,4.106763997556548,3,5
Idaho St.,10,211.73725137431282,220,0.29620043832436005,62.71666666666667,85.27333333333334,-3.0211874188875347,1.9818613497808664,5.0030487686684015,2,2
Rider,12,214.48387968818145,240,0.24025986571478294,51.53186813186814,72.14056378404206,-7.152624319838857,-2.173134042509002,4.979490277329855,3,6
Wichita St.,11,203.23685001273236,285,0.22101629433525866,44.91865546218487,65.19008403361345,0.7176414188013669,5.992106369766951,5.274464950965584,1,7
Louisiana Tech,10,176.9862083698652,170,0.2819610989245219,49.903225806451616,72.93399503722085,-1.6882037909781706,1.3110943070071355,2.999298097985306,3,2
Wagner,10,192.00822847717586,250,0.24907786702320928,47.824999999999996,68.375,-3.9927239039693525,0.12823643552914513,4.120960339498498,0,5
Incarnate Word,11,196.15593851066996,175,0.2742169629055601,53.78928571428571,75.60595238095237,-6.905754383056477,1.0288637134105227,7.934618096467,4,2
Utah,9,157.6739947163515,125,0.3590081554147983,56.60625,76.40625,0.6930220570690997,3.2300471204969945,2.537025063427895,5,1
Auburn,8,155.9038320663618,200,0.33490806223526676,52.21345029239767,72.05861158272025,3.49067208864021,7.302595115406151,3.8119230267659407,0,6
Lindenwood,7,134.97694581280788,175,0.36922561488332983,49.83694581280788,70.90361247947456,-1.7633510056414354,0.06266493960967251,1.826015945251108,0,3
UT Rio Grande Valley,12,215.09769108533294,220,0.2489341518272286,53.54516129032259,73.91612903225807,-1.568148497777594,3.734102728781689,5.3022512265592825,4,5
Idaho,10,177.5490754317367,200,0.2806458381703424,49.82840909090909,73.09840909090909,-1.8333741636893484,2.982877880894435,4.816252044583783,3,4
Boston University,9,159.914414983165,175,0.3185096247163986,50.934280303030306,71.91912878787879,-2.3771987657320195,0.07534909307649117,2.4525478588085106,0,1
Morehead St.,9,176.7996091954023,205,0.276932790848474,48.96160919540229,70.91494252873562,-3.262962946571197,-0.3060658080620142,2.9568971385091825,0,3
Northern Colorado,9,170.57664949992534,185,0.31600045497785617,53.90229885057471,73.13087027914614,-0.5838474316820279,4.159862997047351,4.743710428729379,2,5
Lipscomb,9,184.89430592396107,185,0.25592098738180336,47.31833333333333,69.16166666666666,-2.6720218862000666,0.5871988211078316,3.2592207073078985,3,2
Milwaukee,11,208.87102490096208,255,0.27432373445316754,57.29827956989247,80.1416129032258,-4.244656533357586,-0.9030827157840333,3.3415738175735523,1,7
Youngstown St.,11,201.9657589087662,185,0.2603876003263552,52.589379310344825,74.31006896551723,-2.4406742863117934,0.9750163199759275,3.415690606287721,5,3
Belmont,13,236.24721848044433,245,0.22955573873304194,54.23190476190476,76.9415821812596,-0.10914167875375402,2.399101888624307,2.508243567378061,2,3
Seattle,10,183.76182029177718,220,0.26889993573315607,49.41354166666666,70.72291666666666,-0.4839954144562522,3.4706281932306986,3.9546236076869508,2,5
UAB,10,187.9278154010946,230,0.2486369904949193,46.725806451612904,67.17765830346475,-0.7679467624870198,3.4088799399540384,4.176826702441058,1,4
Grand Canyon,10,183.39779543588597,200,0.29974119846613756,54.971875,73.25463362068965,1.3965045993785212,4.329652626445506,2.933148027066985,2,5
Yale,9,167.93135208711436,185,0.2877282619272192,48.318596059113304,68.54618226600986,1.93065552261975,4.189444055814105,2.2587885331943554,1,3
Towson,10,179.87854655425218,220,0.3029254237931158,54.489784946236554,77.23353494623655,-1.4856880723688102,2.843142335573489,4.328830407942299,3,6
Old Dominion,10,184.06836265824458,210,0.28515789481695886,52.488546798029546,74.19167179802955,-3.153569649750854,0.7606457103123342,3.914215360063188,2,4
Northern Illinois,12,227.84935693935694,210,0.21650757225635175,49.331111111111106,71.6061111111111,-6.88745147170611,-3.6176520607804674,3.2697994109256427,5,5
Longwood,9,171.43262422634837,205,0.2853438288077725,48.91724137931034,71.64482758620689,-2.36813879792863,0.12728845348087026,2.4954272514095,1,4
Elon,11,205.35538720538722,195,0.26971129133939603,55.38666666666667,76.88666666666667,-3.909679037315935,-1.929464704234266,1.9802143330816688,3,1
Florida St.,11,202.47118231768232,245,0.2743567390552155,55.54933333333334,74.69175757575758,2.480012075948365,7.5354352928757224,5.055423216927357,2,6
Syracuse,10,181.89049660509608,210,0.2720573015345376,49.48463768115941,72.363948025987,0.13116750924083923,4.334951047306392,4.203783538065553,3,4
Cleveland St.,14,252.04797781891895,280,0.22195912187115244,55.94434782608696,77.09768115942029,-5.995036844797472,-2.345351068060864,3.6496857767366078,1,5
Western Carolina,9,177.9652880861157,175,0.26394835658888127,46.97364532019705,68.49864532019706,-2.2237432471432483,1.3051947837850961,3.5289380309283445,3,1
North Florida,9,173.1284226579521,155,0.29366340142732333,50.84148148148148,73.33148148148149,-5.7417706986579065,0.306525840984614,6.048296539642521,4,3
Ohio,10,184.39976529217907,180,0.27999075705573717,51.63022988505747,74.2335632183908,-2.767760586891382,-0.5396725861315235,2.2280880007598585,3,3
Denver,8,153.52317095420545,150,0.3383966329970332,51.95172413793105,73.79310344827589,-2.877509450042275,-1.061482073247347,1.816027376794928,2,2
Queens,10,190.24611517893874,190,0.2626164779180384,49.96176470588235,72.19411764705882,-1.4500010380371575,6.347169792572701,7.797170830609859,4,3
Merrimack,10,189.4644316467846,160,0.2970644916885596,56.28315508021391,77.13903743315508,-5.935310868626876,-0.06361414003925264,5.871696728587623,4,1
