team,num_players,total_current_usage,total_adjusted_usage,current_team_bpm,optimal_team_bpm,bpm_improvement
Central Connecticut,11,203.61367775742775,100.0,-11.235350999467252,0.046508824894908186,11.281859824362162
UNLV,10,183.60667868250965,100.0,-0.8959090409073356,1.9172531468059018,2.813162187713237
Fairfield,10,192.46881621667808,99.99999999999997,-8.725540801417967,-2.2859782455782773,6.439562555839689
Bowling Green,10,188.44176969214232,100.00000000000001,-3.980209130348323,0.811178913698724,4.791388044047047
Grambling St.,12,220.9714433320519,99.99999999999997,-13.916445371984933,-3.6328299869717187,10.283615385013213
Seton Hall,11,216.50293316226782,99.99999999999999,-10.529995815896294,5.242864397196343,15.772860213092638
South Dakota,10,199.18540839428772,99.99999999999997,-6.684238641077418,-2.0730053379434645,4.611233303133954
UC Davis,11,211.115165315393,100.00000000000001,-5.443177670985385,0.9910390856758834,6.434216756661268
Chicago St.,12,232.02244438731867,100.0,-20.151758280932103,-1.062870095438138,19.088888185493964
North Alabama,11,203.1268374218374,99.99999999999999,-11.268575818419608,-2.8477033304501598,8.420872487969447
Wisconsin,12,238.13663856761343,99.99999999999999,0.5402955126279432,2.2153292684158945,1.6750337557879513
UNC Asheville,7,133.12099616858237,100.00000000000001,-2.847785020848469,1.292545211056633,4.140330231905102
VCU,11,210.66386584741426,100.0,5.056921293230263,7.535076624459638,2.4781553312293747
LSU,10,206.99914620608595,99.99999999999999,-2.371518076610148,4.642524410406984,7.014042487017132
North Dakota St.,10,189.7045617816092,99.99999999999999,-1.4077524193198667,2.23675599927776,3.644508418597627
Washington,12,232.2963876863877,99.99999999999999,-3.301574153997591,3.3953404991300657,6.696914653127656
Montana,11,190.47546037296036,100.00000000000001,-4.9732633959360335,0.3887829841122322,5.362046380048266
Morgan St.,12,220.07418449220526,100.0,-20.989743967332576,-3.024207609391154,17.96553635794142
Wright St.,11,202.21326480990277,100.0,-1.2237952593206152,3.666792935746877,4.890588195067492
Boise St.,9,183.10733990147784,100.0,0.5920125573540805,6.892590336584554,6.300577779230474
Texas St.,10,193.57165072925721,100.0,-6.184704192313353,0.8124515321054532,6.997155724418806
Oral Roberts,10,193.40515599343186,99.99999999999999,-6.625386618748088,1.3944988060008716,8.01988542474896
