Name,Team,cluster,BPM,Height,Usage,AthleteSourceId
A.J. Hoggard,Michigan St.,9,2.43525,76.0,25.7,4432206.0
Kailex Stephens,Indiana St.,3,-1.27644,79.0,18.5,4703906.0
Jarrett Hensley,Cincinnati,7,-1.87043,80.0,13.2,4703828.0
David Walker,Cal St. Bakersfield,3,-4.89736,76.0,23.0,4702079.0
Tyler Kolek,Marquette,5,0.506108,75.0,19.7,4433225.0
Pier-Olivier Racine,Fairleigh Dickinson,7,-10.6108,80.0,16.0,4703145.0
Joe Munden Jr.,Fairleigh Dickinson,4,-8.82073,76.0,20.8,4703144.0
Marques Watson,Manhattan,10,-4.16805,77.0,12.6,4703172.0
Jalen Moore,Oakland,9,-0.789895,71.0,29.2,4702724.0
Trey Townsend,Oakland,6,2.14766,78.0,17.8,4702721.0
Micah Parrish,Oakland,6,1.16474,77.0,17.3,4702719.0
Sin'Cere McMahon,Winthrop,10,-2.592,73.0,20.7,4703879.0
Javonte Johnson,New Mexico,12,1.62434,78.0,11.7,4683803.0
Nolan Dorsey,Holy Cross,17,-5.4136,77.0,8.2,4703253.0
Evan Johnson,Georgia St.,10,-3.3165,71.0,20.2,4702109.0
Jamal Mashburn Jr.,New Mexico,1,-2.54926,74.0,27.1,4432408.0
Hunter Dickinson,Michigan,2,9.6026,85.0,26.8,4432180.0
Jaden McClanahan,Utah Valley,5,-1.08468,70.0,17.4,4702365.0
Amari Williams,Drexel,0,4.08434,82.0,27.5,4702745.0
Johnell Davis,Florida Atlantic,6,1.65782,75.0,19.4,4702655.0
Niels Lane,Florida,15,0.010818,77.0,11.5,4565449.0
Gideon George,BYU,3,2.592,78.0,20.2,4701218.0
Ahron Ulis,Iowa,5,0.857602,75.0,17.3,4432454.0
Keegan Murray,Iowa,2,13.2833,80.0,28.1,4594327.0
Kellen Tynes,Montana St.,5,-1.35516,75.0,14.1,4702078.0
Emeka Udenyi,Seattle,8,1.79709,78.0,16.2,4702013.0
Jalen Celestine,California,14,0.926518,79.0,17.6,4598611.0
Alem Huseinovic,Nevada,17,-4.395,76.0,11.9,4702875.0
Zahir Porter,Weber St.,1,-4.0384,78.0,18.9,4405290.0
JaKobe Coles,TCU,6,3.55783,79.0,19.1,4432282.0
Osayi Osifo,Jacksonville,13,-0.984076,80.0,19.6,4702251.0
Viktor Rajkovic,Seattle,7,0.871173,78.0,14.9,4702014.0
Kobe Sanders,Cal Poly,17,-1.75443,78.0,18.1,4702352.0
Howard Fleming Jr.,Illinois St.,6,2.04873,77.0,17.1,4703899.0
Dyson Koehler,Weber St.,12,-1.98679,79.0,9.6,4702350.0
Boden Skunberg,North Dakota St.,17,-3.70787,77.0,16.3,4702671.0
Sam Hines Jr.,South Florida,4,-2.73964,78.0,17.5,4702687.0
Derek Fountain,Mississippi St.,6,2.51754,81.0,14.9,4702432.0
Darrion Trammell,Seattle,9,5.06309,70.0,28.4,4702011.0
Jaylin Williams,Arkansas,2,7.22707,82.0,18.6,4432823.0
Isaiah Range,Alabama St.,17,-3.67771,75.0,19.4,4705379.0
Myles Stute,Vanderbilt,12,4.25107,79.0,14.4,4433340.0
Puff Johnson,North Carolina,12,5.31631,80.0,14.2,4701846.0
Joseph Bamisile,George Washington,3,1.10401,76.0,27.1,4432537.0
Darius Maddox,Virginia Tech,12,4.22749,77.0,16.5,4432257.0
Isiah Dasher,Saint Peter's,10,-2.7612,76.0,16.5,4701199.0
Davonte Davis,Arkansas,6,2.19838,76.0,18.1,4432197.0
Isaiah Rivera,Colorado St.,15,0.939232,77.0,14.5,4703224.0
Dre Davis,Louisville,3,0.633925,77.0,22.9,4701318.0
Matteo Picarelli,UMBC,12,-1.93673,74.0,13.9,4701172.0
Hunter Schofield,Utah Tech,3,-2.14851,80.0,26.1,4701250.0
Devontae Blanton,Eastern Kentucky,3,-1.11535,78.0,20.2,4703234.0
Tafari Simms,Milwaukee,3,-4.99888,79.0,19.2,4702936.0
Selton Miguel,Kansas St.,7,-1.02374,76.0,21.0,4433187.0
Aly Khalifa,Charlotte,3,2.1618,83.0,21.6,4702739.0
Dom London,Maryland Eastern Shore,1,-0.438416,73.0,17.7,4700872.0
Tyler Brelsford,Bryant,4,-7.80556,76.0,18.2,4606833.0
Supreme Cook,Fairfield,8,-2.74654,81.0,26.5,4702946.0
Tony Perkins,Iowa,11,4.36374,76.0,21.1,4433130.0
Julian Strawther,Gonzaga,12,6.29357,79.0,17.6,4432181.0
Jamahri Harvey,UNC Wilmington,10,-5.95137,77.0,16.6,4702775.0
Duke Miles,Troy,9,4.54311,74.0,23.7,4702049.0
Clarence Jackson,Wichita St.,7,0.468488,79.0,17.9,4701238.0
Jaden Seymour,East Tennessee St.,8,1.52943,80.0,13.7,4432433.0
Jordan Geronimo,Indiana,15,2.78746,78.0,20.0,4432512.0
Ricky Council IV,Wichita St.,6,3.31379,78.0,24.4,4701234.0
Max Brooks,UMass Lowell,0,3.8747,79.0,22.7,4700953.0
Chris Youngblood,Kennesaw St.,12,1.47618,76.0,19.7,4706557.0
Terrance Williams II,Michigan,12,1.98289,79.0,15.0,4702236.0
"Lamar Oden, Jr.",Drexel,10,-2.22602,78.0,16.5,4585866.0
Tobias Rotegaard,Long Beach St.,10,-4.54346,79.0,16.6,4703135.0
Jalen Cook,Tulane,9,3.40404,72.0,28.2,4433566.0
John Square Jr.,Fairleigh Dickinson,2,3.17197,78.0,19.5,4703146.0
Wynton Brown,Northern Arizona,7,-7.46985,80.0,15.3,4702119.0
Christian Turner,Troy,8,-0.685495,79.0,17.7,4702052.0
Sam Mennenga,Davidson,15,2.48183,81.0,18.6,4700862.0
Tyler Patterson,Montana St.,14,0.115799,80.0,13.5,4702074.0
Touba Traore,Niagara,16,-5.18675,83.0,17.7,4703431.0
Ray'Sean Taylor,SIU Edwardsville,9,1.83411,73.0,28.5,4703380.0
Wendell Green Jr.,Auburn,9,5.09037,71.0,26.5,4433198.0
Trey Bonham,VMI,9,1.95869,72.0,27.1,4703868.0
Dylan Branson,Southeast Missouri St.,5,-3.38463,77.0,13.5,4703379.0
Devin Evans,Nebraska Omaha,12,-3.89973,81.0,14.1,4702681.0
Bryce Johnson,Sacred Heart,15,-2.94494,78.0,17.3,4703180.0
Max Shulga,Utah St.,11,4.64944,76.0,16.9,4701992.0
Grant Nelson,North Dakota St.,15,2.04919,83.0,22.3,4702670.0
Isaiah Pope,Utah Tech,5,-4.70803,78.0,19.9,4701255.0
Demaree King,Jacksonville St.,11,3.30006,72.0,18.7,4703244.0
Jaylin Jackson-Posey,Stephen F. Austin,6,1.08997,74.0,18.8,4703691.0
Jayson Kent,Bradley,17,-3.03441,79.0,20.8,4703889.0
JaCobi Wood,Belmont,5,-3.01609,74.0,19.9,4703220.0
Andre Weir,Florida Gulf Coast,0,-2.89079,82.0,21.9,4741885.0
Kadary Richmond,Seton Hall,9,3.60741,78.0,24.2,4701845.0
Even Brauns,Belmont,16,-1.25326,81.0,16.5,4703219.0
Cameron Sheffield,Rice,10,-3.28095,78.0,13.8,4432321.0
Kendal Coleman,Northwestern St.,8,-1.96507,80.0,24.5,4703671.0
Damaria Franklin,Illinois Chicago,3,-0.148061,75.0,31.5,4703420.0
Kerwin Walton,North Carolina,14,0.770593,77.0,13.5,4567079.0
Dwon Odom,Xavier,11,2.20176,74.0,16.6,4432632.0
Jhaylon Martinez,UC Riverside,7,-8.33892,83.0,18.5,4703388.0
Tre Coleman,Nevada,10,0.441335,79.0,11.6,4433217.0
Marcus Williams,Texas A&M,5,-1.17012,74.0,24.0,4703400.0
Ronald Polite III,George Mason,5,-6.86176,74.0,23.6,4567711.0
Mekhi Gray,NJIT,17,-4.03806,76.0,17.5,4701160.0
Xavier Fuller,South Dakota,7,-5.28699,76.0,22.8,4702647.0
Dalton Banks,Southern Illinois,5,-1.16942,74.0,15.2,4703921.0
Andre Curbelo,Illinois,5,-2.3792,73.0,32.0,4432195.0
Kaleb Thornton,Northern Illinois,5,-3.34947,72.0,20.8,4703521.0
Will Pruitt,Lipscomb,11,0.366841,75.0,17.4,4590356.0
JJ Flores,Western Illinois,17,-5.22963,75.0,12.9,4702619.0
Chinedu Kingsley Okanu,Northern Illinois,8,-3.86954,79.0,20.6,4703523.0
