ncaa_id,year,rapm,off_rapm,def_rapm,base_bpm,win_rate,games_played,total_minutes
3137256,2019,-6.85,-3.57,-2.76,-4.88,0.367,30,831.0
3137257,2019,-0.27,0.73,-0.4,0.88,0.571,14,401.0
3148950,2019,4.99,2.87,2.63,4.58,0.833,36,890.0
3148951,2019,-3.23,-4.05,1.34,-3.62,0.839,31,282.0
3137262,2019,-3.56,-4.12,1.12,-2.94,0.655,29,172.0
3155489,2019,-7.89,-6.95,-1.03,-7.16,0.308,26,229.0
3129935,2019,-10.72,-6.59,-3.67,-7.4,0.071,28,362.0
3129936,2019,-2.94,-3.39,0.97,-2.68,0.71,31,563.0
3129940,2019,-2.35,2.13,-3.88,-1.06,0.542,24,553.0
3129938,2019,0.91,2.0,-0.53,2.31,0.5,30,979.0
3129945,2019,-8.17,-4.66,-3.03,-6.72,0.45,20,355.0
3147463,2019,-5.03,-0.55,-3.92,-2.8,0.333,30,889.0
3147464,2019,-7.93,-3.94,-3.38,-5.3,0.276,29,708.0
3129965,2019,2.66,2.25,0.79,3.24,0.576,33,520.0
3129966,2019,-4.87,-4.01,-0.32,-3.74,0.545,22,371.0
3155733,2019,-0.17,-0.45,0.5,0.17,0.543,35,768.0
3138246,2019,-6.11,-4.42,-1.09,-5.29,0.636,11,50.0
3155740,2019,-0.63,-0.54,0.39,0.07,0.6,30,1037.0
3155745,2019,-0.36,-0.98,1.11,-0.45,0.765,34,458.0
3138265,2019,2.79,3.73,-1.03,1.86,0.643,28,898.0
3158396,2019,-7.83,-6.89,-0.4,-7.67,0.737,19,159.0
3138282,2019,-1.23,-0.34,-0.28,0.2,0.515,33,1109.0
3155750,2019,0.62,2.84,-1.78,2.22,0.4,30,929.0
3138468,2019,-7.73,-7.51,0.37,-4.98,0.25,24,332.0
3138479,2019,-2.18,-0.62,-1.07,-0.89,0.484,31,760.0
3138490,2019,-1.56,0.01,-1.04,-0.33,0.516,31,898.0
3138494,2019,-4.47,-2.3,-1.61,-2.38,0.364,33,871.0
3133963,2019,2.92,2.85,0.56,3.77,0.576,33,1121.0
3133967,2019,-2.39,-1.97,0.06,-1.85,0.633,30,569.0
3133969,2019,8.0,4.5,3.64,7.94,0.581,31,1096.0
3133973,2019,2.79,1.55,1.62,4.2,0.407,27,906.0
3153183,2019,3.41,2.11,1.53,2.47,0.8,35,743.0
3133979,2019,-2.57,-1.26,-0.72,-0.99,0.484,31,975.0
3155881,2019,-3.39,-2.34,-0.45,-1.81,0.484,31,632.0
3136083,2019,0.7,-1.23,2.45,0.31,0.839,31,389.5
3136084,2019,-9.37,-6.07,-2.82,-8.5,0.567,30,508.0
3136086,2019,1.8,2.55,-0.19,3.73,0.393,28,977.0
3138497,2019,2.12,1.55,1.0,2.43,0.655,29,797.0
3149047,2019,-12.74,-8.56,-3.72,-10.7,0.32,25,242.0
3138514,2019,0.05,2.33,-1.81,1.13,0.514,35,962.0
3138574,2019,0.97,0.38,0.59,1.28,0.438,32,686.0
3138570,2019,-3.64,0.54,-3.77,-1.09,0.194,31,799.0
3130550,2019,-5.34,-3.87,-1.09,-3.34,0.294,17,204.5
3149019,2019,-4.83,-1.23,-3.04,-2.22,0.258,31,1049.0
3130565,2019,-1.11,-0.34,-0.63,-0.58,0.462,26,459.0
3130572,2019,-5.36,-3.36,-1.43,-2.75,0.258,31,945.0
3158440,2019,-4.89,-1.68,-2.69,-2.76,0.333,30,782.0
3137159,2019,-3.13,-0.27,-2.33,-0.66,0.267,30,920.0
3137221,2019,4.74,3.38,1.34,4.31,0.576,33,1037.0
3155936,2019,-2.24,-2.3,0.54,-1.43,0.581,31,423.0
3155937,2019,2.14,3.57,-0.9,2.87,0.622,37,1330.0
3137232,2019,-5.5,-2.56,-2.42,-4.11,0.484,31,877.0
3137234,2019,11.38,6.39,5.33,10.51,0.844,32,769.0
3130700,2019,-3.17,-0.12,-2.56,-1.3,0.367,30,970.0
3155906,2019,-4.14,-0.88,-2.78,-3.27,0.567,30,603.0
3130704,2019,-5.39,-2.22,-2.62,-3.31,0.36,25,489.0
3155911,2019,-6.23,-2.69,-2.94,-4.13,0.379,29,552.0
4280617,2019,-8.57,-4.69,-3.53,-6.64,0.286,14,254.5
3155919,2019,-4.78,-4.28,-0.34,-2.78,0.182,11,129.0
3130722,2019,-1.45,1.4,-2.33,-0.65,0.6,30,938.0
3130721,2019,-3.09,-1.59,-0.98,-2.29,0.6,30,658.0
3151454,2019,4.56,-0.29,5.19,4.53,0.676,37,665.0
3134929,2019,2.88,3.95,-0.56,3.68,0.6,30,977.0
3134932,2019,6.87,5.93,1.46,8.17,0.5,30,1050.0
3134938,2019,-1.97,-1.44,0.02,-0.33,0.452,31,904.0
3155987,2019,5.85,2.27,4.11,5.41,0.853,34,895.0
3155995,2019,-0.59,1.12,-1.25,1.16,0.375,16,159.0
3136460,2019,6.4,6.3,0.59,6.52,0.719,32,1071.0
3141192,2019,-3.01,-1.77,-0.68,-0.98,0.37,27,521.0
3141193,2019,-5.85,-5.0,-0.39,-6.63,0.889,18,108.0
3141214,2019,-4.88,-1.3,-3.17,-3.07,0.346,26,648.0
3141256,2019,-6.79,-4.27,-2.0,-4.44,0.29,31,520.0
3141259,2019,-5.64,-2.04,-3.11,-4.26,0.469,32,707.0
3141263,2019,1.14,1.06,0.54,1.3,0.697,33,1019.0
3141271,2019,-2.56,-2.64,0.63,-0.98,0.462,26,593.0
3143549,2019,-8.47,-9.23,1.24,-7.38,0.524,21,97.0
3143560,2019,-2.69,-1.12,-1.04,-1.96,0.618,34,715.0
3947200,2019,-3.31,-2.4,-0.44,-2.56,0.586,29,958.0
3143752,2019,0.29,-2.89,3.2,1.12,0.348,23,163.5
3153401,2019,-14.11,-7.45,-6.17,-11.61,0.25,12,34.0
3130577,2019,-1.26,-1.09,0.31,-0.33,0.552,29,508.0
3130579,2019,-6.83,-4.3,-2.06,-4.63,0.3,30,684.0
3130580,2019,-1.3,-1.67,0.71,0.09,0.393,28,700.0
3130581,2019,1.37,-1.24,3.03,1.67,0.65,20,368.0
3130608,2019,4.69,4.31,0.76,4.62,0.704,27,962.0
3149662,2019,4.5,4.46,0.44,4.5,0.7,30,897.0
3154931,2019,-1.65,1.37,-2.47,-0.17,0.478,23,335.5
3153381,2019,-7.38,-1.53,-5.33,-4.41,0.167,30,834.0
3154149,2019,-0.79,-0.57,0.28,-0.7,0.727,33,784.0
3159685,2019,-9.51,-8.2,-0.83,-8.18,0.476,21,115.0
3159898,2019,-3.34,-1.8,-0.94,-1.84,0.5,30,812.0
4288278,2019,1.82,2.1,0.17,2.21,0.645,31,638.0
3155390,2019,7.45,4.39,3.09,7.11,0.583,36,1036.0
3155568,2019,-6.28,-0.64,-5.09,-3.55,0.231,26,556.0
3155484,2019,-5.24,-1.59,-3.14,-2.53,0.214,28,784.0
3155509,2019,9.84,5.43,4.42,9.1,0.657,35,665.0
3155538,2019,0.75,1.58,-0.31,0.88,0.733,30,448.0
4395993,2019,-6.03,-5.61,-0.0,-5.0,0.5,32,267.0
3155698,2019,-3.36,-5.0,1.62,-3.32,0.48,25,367.0
3155499,2019,-2.76,-2.85,0.42,-2.18,0.548,31,381.0
3155706,2019,-7.61,-4.27,-2.97,-4.9,0.143,21,200.0
3163004,2019,8.6,5.99,2.84,8.94,0.543,35,764.0
3163453,2019,-3.56,-0.07,-2.89,-0.19,0.125,24,813.0
3156103,2019,0.7,-2.14,3.32,0.38,0.806,31,442.0
3155894,2019,-4.64,-2.23,-2.07,-3.25,0.393,28,1017.0
3155887,2019,-2.86,-2.67,0.37,-0.9,0.387,31,443.0
3158900,2019,-2.06,1.81,-3.39,-1.12,0.552,29,358.0
3156043,2019,-2.52,-3.48,1.44,-1.82,0.6,30,805.0
3161993,2019,1.74,0.98,1.21,1.44,0.788,33,547.0
3947137,2019,8.43,3.41,5.29,7.16,0.892,37,521.0
3163178,2019,1.2,0.76,0.74,1.95,0.5,20,457.5
3165262,2019,-7.98,-8.8,0.97,-9.06,0.792,24,97.0
3907779,2019,7.66,2.47,5.42,6.32,0.885,26,291.0
3907780,2019,6.8,3.23,3.81,5.45,0.892,37,1106.0
3907785,2019,11.03,7.07,3.86,9.67,0.722,36,1175.0
