Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier,BPM,VORP,RAPM,off_RAPM,def_RAPM,OBPM,DBPM
2020,20192020,506,Alice Lloyd College,,33818,4602546,Dreac Turner,ATH,1,0,3,0,1,0,0,0,0,0.0,145.8,-145.8,-2.0,45.9,0.0,,0.0,0.0,0.0,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0,-0.1,0.0,-0.1,-1.333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,33831,4288863,Blake Smith,G,2,2,65,33,6,1,2,3,4,74.7,122.6,-47.9,-2.4,33.4,0.33,46.2,16.7,33.3,0.366,13,42,31.0,11,32,34.4,2,10,20.0,5,7,71.4,6,7,13,-0.2,0.0,-0.2,-0.123,16.5,6.5,1.0,1.5,2.0,3.0,0.5,32.5,basic,,,,,,,
2020,20192020,506,Alice Lloyd College,,33832,4288862,Ian Lee,G,2,2,43,11,2,3,3,2,1,67.2,121.6,-54.4,-1.6,21.1,1.5,30.0,16.7,25.0,0.285,3,18,16.7,0,7,0.0,3,11,27.3,2,3,66.7,3,7,10,-0.1,0.0,-0.1,-0.093,5.5,5.0,1.5,1.0,0.5,1.0,1.5,21.5,basic,,,,,,,
2020,20192020,509,Defiance,,20142,4405703,Marell Jordan,G,1,0,21,6,2,1,2,2,0,52.8,109.9,-57.1,-3.8,31.4,1.0,0.0,0.0,27.3,0.273,3,11,27.3,3,8,37.5,0,3,0.0,0,0,0.0,0,4,4,-0.1,0.0,-0.1,-0.19,6.0,4.0,2.0,2.0,0.0,2.0,1.0,21.0,basic,,,,,,,
2020,20192020,509,Defiance,,20147,4596735,Jerome Johnson,G,1,0,9,3,1,0,1,0,0,80.2,125.3,-45.1,-0.3,22.5,1.0,0.0,0.0,50.0,0.5,1,3,33.3,0,0,0.0,1,3,33.3,0,0,0.0,0,1,1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,basic,,,,,,,
2020,20192020,509,Defiance,,20148,4596728,Grant Johnson,G,1,0,3,0,0,0,1,0,0,36.9,129.2,-92.3,-0.4,16.9,,,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,basic,,,,,,,
2020,20192020,509,Defiance,,20149,4596726,Jabryis Heidelburg,G,1,0,3,0,0,0,0,0,0,15.8,129.2,-113.4,-1.2,33.8,,100.0,0.0,0.0,0.0,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,basic,,,,,,,
2020,20192020,509,Defiance,,25351,4596733,Jack Kolar,G,1,1,14,0,1,0,0,0,0,14.5,126.7,-112.2,-1.2,7.2,0.0,50.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,basic,,,,,,,
2020,20192020,509,Defiance,,25354,4596736,Brandon Barber,F,1,0,6,3,0,0,0,0,0,300.0,129.2,170.8,1.8,8.4,,,0.0,150.0,1.5,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,basic,,,,,,,
2020,20192020,509,Defiance,,29466,4596731,Avonte Jones,G,1,0,19,4,1,2,0,0,0,56.7,124.2,-67.5,-1.8,18.7,0.0,0.0,0.0,33.3,0.333,2,6,33.3,2,4,50.0,0,2,0.0,0,0,0.0,0,2,2,-0.1,0.0,-0.1,-0.211,4.0,2.0,0.0,0.0,0.0,1.0,2.0,19.0,basic,,,,,,,
