Season,SeasonLabel,TeamId,Team,Conference,AthleteId,AthleteSourceId,Name,Position,Games,Starts,Minutes,Points,Turnovers,Fouls,Assists,Steals,Blocks,OffensiveRating,DefensiveRating,NetRating,PORPAG,Usage,AssistsTurnoverRatio,OffensiveReboundPct,FreeThrowRate,EffectiveFieldGoalPct,TrueShootingPct,FieldGoals Made,FieldGoals Attempted,FieldGoals Pct,TwoPointFieldGoals Made,TwoPointFieldGoals Attempted,TwoPointFieldGoals Pct,ThreePointFieldGoals Made,ThreePointFieldGoals Attempted,ThreePointFieldGoals Pct,FreeThrows Made,FreeThrows Attempted,FreeThrows Pct,Rebounds Offensive,Rebounds Defensive,Rebounds Total,WinShares Offensive,WinShares Defensive,WinShares Total,WinShares TotalPer40,PPG,RPG,APG,SPG,BPG,TOPG,FPG,MPG,data_tier
2026,20252026,11,Arizona,Big 12,269,4432737,Jaden Bradley,G,39,39,1198,518,68,79,170,56,4,119.3,99.1118,23.9,3.7,21.1,2.5,13.5,51.1,49.7,0.575,170,368,46.2,144,301,47.8,26,67,38.8,152,188,80.9,18,115,133,3.6,2.1,5.7,0.19,13.3,3.4,4.4,1.4,0.1,1.7,2.0,30.7,basic
2026,20252026,11,Arizona,Big 12,274,5174954,Motiejus Krivas,C,39,39,984,407,53,103,43,28,73,126.5,92.5921,36.6,3.1,19.0,0.81,37.7,70.3,57.7,0.65,136,239,56.9,132,226,58.4,4,13,30.8,131,168,78.0,120,198,318,3.1,2.3,5.4,0.22,10.4,8.2,1.1,0.7,1.9,1.4,2.6,25.2,basic
2026,20252026,11,Arizona,Big 12,276,5108141,Anthony Dell'Orso,G,39,0,816,330,45,46,72,32,6,110.5,100.239,12.8,1.8,19.0,1.6,6.4,23.4,49.6,0.538,113,278,40.6,63,128,49.2,50,150,33.3,54,65,83.1,5,73,78,1.5,1.4,2.9,0.142,8.5,2.0,1.8,0.8,0.2,1.2,1.2,20.9,basic
2026,20252026,11,Arizona,Big 12,277,4896359,Addison Arnold,G,20,0,46,8,2,9,4,0,1,77.8,100.389,-13.0,0.0,17.3,2.0,22.2,30.8,15.4,0.271,2,13,15.4,2,11,18.2,0,2,0.0,4,4,100.0,2,7,9,0.0,0.1,0.1,0.087,0.4,0.4,0.2,0.0,0.0,0.1,0.4,2.3,basic
2026,20252026,11,Arizona,Big 12,281,5239487,Sven Djopmo,G,19,0,36,10,1,3,4,1,0,115.5,101.447,26.8,0.1,16.1,4.0,25.0,71.4,57.1,0.543,4,7,57.1,4,5,80.0,0,2,0.0,2,5,40.0,1,3,4,0.1,0.1,0.2,0.222,0.5,0.2,0.2,0.1,0.0,0.1,0.2,1.9,basic
2026,20252026,11,Arizona,Big 12,282,5174956,Jackson Cook,G,10,0,14,0,0,2,0,0,0,24.7,105.793,-82.6,-0.2,10.6,,50.0,33.3,0.0,0.0,0,3,0.0,0,1,0.0,0,2,0.0,0,1,0.0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,1.4,basic
2026,20252026,11,Arizona,Big 12,284,5105542,Jackson Francois,G,10,0,14,4,2,6,0,0,0,88.3,101.336,-10.3,0.0,18.8,0.0,50.0,0.0,66.7,0.667,2,3,66.7,2,3,66.7,0,0,0.0,0,0,0.0,2,2,4,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.2,0.6,1.4,basic
2026,20252026,11,Arizona,Big 12,1061,4702960,Evan Nelson,G,25,0,82,14,7,3,7,3,1,87.4,98.758,-5.4,0.0,11.6,1.0,8.3,0.0,53.8,0.538,5,13,38.5,1,3,33.3,4,10,40.0,0,0,0.0,1,11,12,0.0,0.2,0.2,0.098,0.6,0.5,0.3,0.1,0.0,0.3,0.1,3.3,basic
2026,20252026,11,Arizona,Big 12,197978,5186456,Dwayne Aristode,F,35,0,465,134,15,28,26,16,3,127.9,101.128,29.3,1.1,12.1,1.73,36.1,20.8,64.6,0.639,47,96,49.0,17,31,54.8,30,65,46.2,10,20,50.0,22,39,61,1.0,0.8,1.8,0.155,3.8,1.7,0.7,0.5,0.1,0.4,0.8,13.3,basic
2026,20252026,11,Arizona,Big 12,197982,5082206,Brayden Burries,G,39,39,1160,626,58,81,94,58,7,125.2,96.1697,32.3,4.6,21.6,1.62,11.5,39.5,57.2,0.623,210,428,49.1,140,249,56.2,70,179,39.1,136,169,80.5,22,170,192,4.3,2.4,6.7,0.231,16.1,4.9,2.4,1.5,0.2,1.5,2.1,29.7,basic
2026,20252026,11,Arizona,Big 12,197987,5311897,Sidi Gueye,F,26,0,92,33,5,12,5,2,8,124.1,93.7582,37.3,0.3,15.5,1.0,25.0,61.1,72.2,0.722,13,18,72.2,13,18,72.2,0,0,0.0,7,11,63.6,5,15,20,0.2,0.2,0.4,0.174,1.3,0.8,0.2,0.1,0.3,0.2,0.5,3.5,basic
2026,20252026,11,Arizona,Big 12,197989,5311896,Ivan Kharchenkov,F,39,39,1106,406,57,61,89,54,11,116.3,97.9496,20.5,2.5,17.4,1.56,26.2,33.1,54.6,0.581,150,305,49.2,117,201,58.2,33,104,31.7,73,101,72.3,44,124,168,2.3,2.1,4.4,0.159,10.4,4.3,2.3,1.4,0.3,1.5,1.6,28.4,basic
2026,20252026,11,Arizona,Big 12,197993,5041953,Koa Peat,F,36,36,1004,508,58,80,93,22,25,116.2,99.4741,19.8,3.4,24.4,1.6,37.9,42.7,53.7,0.564,200,379,52.8,193,359,53.8,7,20,35.0,101,162,62.3,77,126,203,2.9,1.8,4.7,0.187,14.1,5.6,2.6,0.6,0.7,1.6,2.2,27.9,basic
2026,20252026,12,Arkansas,SEC,3103,5105546,Malique Ewin,F,37,4,776,364,44,85,38,25,41,126.5,108.694,19.2,2.8,21.7,0.86,48.8,60.4,59.7,0.648,131,222,59.0,128,218,58.7,3,4,75.0,99,134,73.9,103,108,211,2.7,0.6,3.3,0.17,9.8,5.7,1.0,0.7,1.1,1.2,2.3,21.0,basic
2026,20252026,12,Arkansas,SEC,3205,4703887,Nick Pringle,F,35,33,663,163,28,99,20,13,16,123.7,112.239,12.6,1.2,11.8,0.71,40.0,81.2,72.9,0.706,62,85,72.9,62,85,72.9,0,0,0.0,39,69,56.5,54,81,135,1.2,0.3,1.5,0.09,4.7,3.9,0.6,0.4,0.5,0.8,2.8,18.9,basic
2026,20252026,12,Arkansas,SEC,7824,4683777,D.J. Wagner,G,35,19,825,259,23,62,85,31,10,117.8,113.367,5.6,1.9,14.7,3.7,0.0,27.6,51.7,0.55,90,210,42.9,53,103,51.5,37,107,34.6,42,58,72.4,0,55,55,1.6,0.2,1.8,0.087,7.4,1.6,2.4,0.9,0.3,0.7,1.8,23.6,basic
2026,20252026,12,Arkansas,SEC,7825,5060732,Billy Richmond III,F,37,19,1022,413,45,87,75,41,30,122.4,110.402,12.6,2.9,17.9,1.67,31.4,24.5,58.8,0.617,170,302,56.3,155,244,63.5,15,58,25.9,58,74,78.4,50,109,159,2.7,0.7,3.4,0.133,11.2,4.3,2.0,1.1,0.8,1.2,2.4,27.6,basic
2026,20252026,12,Arkansas,SEC,7826,4869777,Karter Knox,F,22,18,489,178,22,44,26,15,12,116.2,110.054,8.3,1.9,17.1,1.18,28.0,23.7,55.4,0.58,64,139,46.0,38,70,54.3,26,69,37.7,24,33,72.7,28,72,100,1.0,0.4,1.4,0.115,8.1,4.5,1.2,0.7,0.5,1.0,2.0,22.2,basic
2026,20252026,12,Arkansas,SEC,7827,4698719,Trevon Brazile,F,36,35,1134,470,38,71,55,53,57,125.3,105.308,20.8,3.6,17.2,1.45,20.8,36.8,59.6,0.626,170,323,52.6,125,191,65.4,45,132,34.1,85,119,71.4,55,209,264,3.2,1.2,4.4,0.155,13.1,7.3,1.5,1.5,1.6,1.1,2.0,31.5,basic
2026,20252026,12,Arkansas,SEC,7830,5238196,Ayden Kelley,G,7,0,11,4,0,0,0,0,0,134.7,121.679,34.0,0.2,10.9,,,100.0,75.0,0.694,1,2,50.0,0,1,0.0,1,1,100.0,1,2,50.0,0,0,0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.6,basic
